"PaymentID","OfferID","BankID","PaymentMode"
"798","19466","15",NULL
"799","19485","16",NULL
"800","19518","16",NULL
"801","19519","16",NULL
"802","19549","18",NULL
"803","19551","16",NULL
"804","19555","4",NULL
"805","19565","9",NULL
"806","19570","7",NULL
"807","19571","7",NULL
"808","19572","7",NULL
"809","19573","7",NULL
"810","19574","7",NULL
"811","19575","7",NULL
"812","19576","7",NULL
"813","19577","7",NULL
"814","19578","7",NULL
"815","19579","7",NULL
"816","19580","7",NULL
"817","19581","7",NULL
"818","19582","7",NULL
"819","19583","7",NULL
"820","19584","7",NULL
"821","19585","7",NULL
"822","19586","7",NULL
"823","19587","7",NULL
"824","19588","7",NULL
"825","19589","7",NULL
"826","19590","7",NULL
"827","19591","7",NULL
"828","19592","7",NULL
"829","19593","7",NULL
"830","19594","7",NULL
"831","19595","7",NULL
"832","19596","7",NULL
"833","19597","7",NULL
"834","19598","7",NULL
"835","19599","7",NULL
"836","19600","7",NULL
"837","19601","7",NULL
"838","19602","7",NULL
"839","19603","7",NULL
"840","19604","7",NULL
"841","19605","7",NULL
"842","19606","7",NULL
"843","19607","7",NULL
"844","19608","7",NULL
"845","19609","7",NULL
"846","19610","7",NULL
"847","19611","7",NULL
"848","19612","7",NULL
"849","19613","7",NULL
"850","19614","7",NULL
"851","19615","7",NULL
"852","19616","7",NULL
"853","19617","7",NULL
"854","19618","7",NULL
"855","19619","7",NULL
"856","19620","7",NULL
"857","19621","7",NULL
"858","19622","7",NULL
"859","19623","7",NULL
"860","19624","7",NULL
"861","19625","7",NULL
"862","19626","7",NULL
"863","19627","7",NULL
"864","19628","7",NULL
"865","19629","7",NULL
"866","19630","7",NULL
"867","19631","7",NULL
"868","19632","7",NULL
"869","19633","7",NULL
"870","19634","7",NULL
"871","19635","7",NULL
"872","19636","7",NULL
"873","19637","7",NULL
"874","19638","7",NULL
"875","19639","7",NULL
"876","19640","7",NULL
"877","19641","7",NULL
"878","19642","7",NULL
"879","19643","7",NULL
"880","19644","7",NULL
"881","19645","7",NULL
"882","19646","7",NULL
"883","19647","7",NULL
"884","19648","7",NULL
"885","19649","7",NULL
"886","19650","7",NULL
"887","19651","7",NULL
"888","19652","7",NULL
"889","19653","7",NULL
"890","19654","7",NULL
"891","19655","7",NULL
"892","19656","7",NULL
"893","19657","7",NULL
"894","19658","7",NULL
"895","19659","7",NULL
"896","19660","7",NULL
"897","19661","7",NULL
"898","19662","7",NULL
"899","19663","7",NULL
"900","19664","7",NULL
"901","19665","7",NULL
"902","19666","7",NULL
"903","19667","7",NULL
"904","19668","7",NULL
"905","19669","7",NULL
"906","19670","7",NULL
"907","19671","7",NULL
"908","19672","7",NULL
"909","19673","7",NULL
"910","19674","7",NULL
"911","19675","7",NULL
"912","19676","7",NULL
"913","19677","7",NULL
"914","19678","7",NULL
"915","19679","7",NULL
"916","19680","7",NULL
"917","19681","7",NULL
"918","19682","7",NULL
"919","19683","7",NULL
"920","19684","7",NULL
"921","19685","7",NULL
"922","19686","7",NULL
"923","19687","7",NULL
"924","19688","7",NULL
"925","19689","7",NULL
"926","19690","7",NULL
"927","19691","7",NULL
"928","19692","7",NULL
"929","19693","7",NULL
"930","19694","7",NULL
"931","19726","18",NULL
"932","19735","15",NULL
"933","19769","9",NULL
